,Index,company,company_location,review_date,Bean_Country,Bean_Province,cocoa_percent,rating,num_ingredients,cocoa_butter,vanilla,lecithin,salt,sugar,alternative_sweetener,first_taste,second_taste,third_taste,fourth_taste
36,36,Aelan,Vanuatu,2019,Vanuatu,"EPI Island, batch E 11/19",70.0,3.0,2,No,No,No,No,Yes,No,sandy,woody,spicy,sweet
37,37,Aelan,Vanuatu,2019,Vanuatu,"Malo Island, batch Ma20/19",70.0,2.75,2,No,No,No,No,Yes,No,basic,sweet,cocoa,woody
38,38,Aelan,Vanuatu,2019,Vanuatu,"Santo Island, batch S15/19",70.0,2.75,2,No,No,No,No,Yes,No,sweet,cocoa,rubbery,
39,39,Aelan,Vanuatu,2019,Vanuatu,"Malekula Island, batch M10/19",70.0,2.5,2,No,No,No,No,Yes,No,unrefined,sweet,metallic,
40,40,Aequare (Gianduja),Ecuador,2009,Ecuador,"Los Rios, Quevedo, Arriba",70.0,3.0,4,Yes,Yes,No,No,Yes,No,roasty,nutty,coffee,
41,41,Aequare (Gianduja),Ecuador,2009,Ecuador,"Los Rios, Quevedo, Arriba",55.0,2.75,4,Yes,Yes,No,No,Yes,No,sandy,sweet,banana cream,
42,42,Ah Cacao,Mexico,2009,Mexico,Tabasco,70.0,3.0,3,Yes,No,No,No,Yes,No,gritty,spice,cocoa,
43,43,Akesson's (Pralus),Switzerland,2010,Madagascar,"Madagascar, Ambolikapiky P.",75.0,2.75,4,Yes,No,Yes,No,Yes,No,strong pepper,musty,,
44,44,Akesson's (Pralus),Switzerland,2010,Brazil,"Monte Alegre, D. Badero",75.0,2.75,4,Yes,No,Yes,No,Yes,No,fatty,intense,woody,
45,45,Akesson's (Pralus),Switzerland,2011,Indonesia,"Bali (west), Sukrama Family, Melaya area",75.0,3.75,4,Yes,No,Yes,No,Yes,No,hay,nut,berry,
46,46,Alain Ducasse,France,2013,Venezuela,Chuao,75.0,2.5,5,Yes,Yes,Yes,No,Yes,No,sandy,dirt,ashey,
47,47,Alain Ducasse,France,2013,Peru,"Piura, Perou",75.0,2.5,5,Yes,Yes,Yes,No,Yes,No,cardboard,dirt,roasty,
48,48,Alain Ducasse,France,2014,Madagascar,Madagascar,75.0,3.0,5,Yes,Yes,No,Yes,Yes,No,citrus,fatty,dairy,
49,49,Alain Ducasse,France,2014,Trinidad,Trinite,65.0,2.75,6,Yes,Yes,Yes,Yes,Yes,No,roasty,sweet,savory,
50,50,Alain Ducasse,France,2014,Vietnam,Vietnam,75.0,2.75,5,Yes,Yes,No,Yes,Yes,No,nutty,roasty,odd dairy,
51,51,Alain Ducasse,France,2017,Mexico,"Porcelana, Mexique",75.0,3.5,6,Yes,Yes,Yes,Yes,Yes,No,strawberry,cream,gateway,
52,52,Alexandre,Netherlands,2017,Ecuador,"Winak Coop, Napo",70.0,3.5,3,Yes,No,No,No,Yes,No,sandy,green,floral,
53,53,Alexandre,Netherlands,2017,Nicaragua,"La Dalia, Matagalpa",70.0,3.5,3,Yes,No,No,No,Yes,No,sandy,sweet,nibby,
54,54,Alexandre,Netherlands,2017,Tanzania,"Makwale Village, Kyela",70.0,3.5,3,Yes,No,No,No,Yes,No,sandy,melon,banana,
55,55,Alexandre,Netherlands,2017,Vietnam,Tien Giang,70.0,3.5,3,Yes,No,No,No,Yes,No,sandy,sweet,roasty,
56,56,Altus aka Cao Artisan,U.S.A,2013,Bolivia,"Bolivia, batch 101",80.0,3.25,4,Yes,No,Yes,No,Yes,No,gritty,berry,mild bitter,
57,57,Altus aka Cao Artisan,U.S.A,2013,Peru,"Peru, batch 148",60.0,3.25,4,Yes,No,Yes,No,Yes,No,gritty,too sweet,fruit,
58,58,Altus aka Cao Artisan,U.S.A,2013,Dominican republic,"Conacado, batch 130",60.0,3.0,4,Yes,No,Yes,No,Yes,No,sandy,sweet,dairy,spice
59,59,Altus aka Cao Artisan,U.S.A,2013,Bolivia,"Bolivia, batch 154",60.0,3.0,4,Yes,No,Yes,No,Yes,No,grit,sweet,caramel,fruit
60,60,Altus aka Cao Artisan,U.S.A,2013,Venezuela,Sur del Lago,60.0,2.5,4,Yes,No,Yes,No,Yes,No,sweet,moldy,off,
61,61,Altus aka Cao Artisan,U.S.A,2016,Peru,Acopagro,60.0,3.0,3,Yes,No,No,No,Yes,No,dry,sweet,caramel,
62,62,Altus aka Cao Artisan,U.S.A,2016,Nicaragua,Momotombo,60.0,2.75,3,Yes,No,No,No,Yes,No,powdery,sweet,molasses,
63,63,Altus aka Cao Artisan,U.S.A,2016,Ecuador,Gruppo Salinas,60.0,2.75,3,Yes,No,No,No,Yes,No,sandy,nutty,earthy,roasty
64,64,Altus aka Cao Artisan,U.S.A,2016,Bolivia,CIAAB Coop,60.0,2.5,3,Yes,No,No,No,Yes,No,sandy,sweet,pungent,
65,65,Altus aka Cao Artisan,U.S.A,2016,Peru,Villa Andina,60.0,2.5,3,Yes,No,No,No,Yes,No,sandy,sweet,sour,off
66,66,Altus aka Cao Artisan,U.S.A,2018,Dominican republic,Oko Caribe,70.0,3.0,3,Yes,No,No,No,Yes,No,sweet,coarse,nutty,
67,67,Amano,U.S.A,2007,Venezuela,Ocumare,70.0,3.75,4,Yes,Yes,No,No,Yes,No,spicy,strawberry,,
68,68,Amano,U.S.A,2007,Madagascar,Madagascar,70.0,3.5,4,Yes,Yes,No,No,Yes,No,spice,nut,cocoa,fruit
69,69,Amano,U.S.A,2007,Venezuela,Cuyagua,70.0,3.0,4,Yes,Yes,No,No,Yes,No,waxy,nutty,mint,
70,70,Amano,U.S.A,2008,Indonesia,"Bali, Jembrana",70.0,2.75,4,Yes,Yes,No,No,Yes,No,sticky,nutty,high acidity,
71,71,Amano,U.S.A,2009,Venezuela,Montanya,70.0,3.0,4,Yes,Yes,No,No,Yes,No,hot spice,roasty,,
72,72,Amano,U.S.A,2010,Ecuador,Guayas,70.0,4.0,4,Yes,Yes,No,No,Yes,No,strong spice,intense pepper,,
73,73,Amano,U.S.A,2010,Dominican republic,Dos Rios,70.0,3.75,4,Yes,Yes,No,No,Yes,No,orange,cinamon,,
74,74,Amano,U.S.A,2010,Venezuela,Chuao,70.0,3.0,4,Yes,Yes,No,No,Yes,No,woody,red berry,sour,
75,75,Amano,U.S.A,2011,Papua new guinea,Morobe,70.0,4.0,4,Yes,Yes,No,No,Yes,No,tart,lemon,smoke,
76,76,Amatller (Simon Coll),Spain,2009,Ghana,Ghana,70.0,3.0,2,No,No,No,No,Yes,No,dry,chalky,fudge-like,
77,77,Amatller (Simon Coll),Spain,2009,Ghana,Ghana,85.0,3.0,2,No,No,No,No,Yes,No,roasty,oddly sweet,marshmallow,
78,78,Amatller (Simon Coll),Spain,2009,Ecuador,Ecuador,70.0,2.75,2,No,No,No,No,Yes,No,waxy mouthfeel,spicy,,
79,79,Amatller (Simon Coll),Spain,2009,Ecuador,Ecuador,85.0,2.75,2,No,No,No,No,Yes,No,fatty,mushroom,off notes,
80,80,Amazona,Peru,2013,Peru,"Bellavista Gran Pajeten, San Martin",73.0,3.5,3,Yes,No,No,No,Yes,No,oily,vegetal,nutty,cocoa
81,81,Amazona,Peru,2013,Peru,"LamasdelChanka, San Martin, Oro Verde coop",72.0,3.25,3,Yes,No,No,No,Yes,No,oily,vanilla,melon,cocoa
82,82,Ambrosia,Canada,2015,Peru,Peru,68.0,3.5,2,No,No,No,No,Yes,No,rich,sour,mild smoke,
83,83,Ambrosia,Canada,2015,Madagascar,Madagascar,66.0,3.25,2,No,No,No,No,Yes,No,fruity,sour,,
84,84,Ambrosia,Canada,2015,Dominican republic,Dominican Republic,75.0,3.25,2,No,No,No,No,Yes,No,high roast,high astringnet,,
85,85,Ambrosia,Canada,2015,Papua new guinea,Papua New Guinea,63.0,3.25,2,No,No,No,No,Yes,No,smokey,savory,,
86,86,Ambrosia,Canada,2015,Venezuela,Venezuela,70.0,3.25,2,No,No,No,No,Yes,No,sandy,roasty,nutty,
87,87,Ambrosia,Canada,2015,Belize,Belize,64.0,3.0,4,Yes,No,Yes,No,Yes,No,roasty,brownie,nutty,
88,88,Amedei,Italy,2006,Blend,Toscano Black,66.0,3.75,4,Yes,Yes,No,No,Yes,No,red wine,rich cocoa,long,
89,89,Amedei,Italy,2007,Venezuela,Venezuela,70.0,3.75,4,Yes,Yes,No,No,Yes,No,creamy,fruit,cocoa,
90,90,Amedei,Italy,2007,Grenada,Grenada,70.0,3.5,4,Yes,Yes,No,No,Yes,No,fruity with coffee notes,,,
91,91,Amedei,Italy,2007,Trinidad,Trinidad,70.0,3.5,4,Yes,Yes,No,No,Yes,No,coffee,fruit,woodsy,
92,92,Amedei,Italy,2007,Blend,Toscano Black,63.0,3.5,4,Yes,Yes,No,No,Yes,No,fatty,dairy,caramel,cocoa
93,93,Amedei,Italy,2007,Ecuador,Ecuador,70.0,3.0,4,Yes,Yes,No,No,Yes,No,creamy,earthy,vegetal,
94,94,Amedei,Italy,2007,Jamaica,Jamaica,70.0,3.0,4,Yes,Yes,No,No,Yes,No,sandy,woody,spicy,
95,95,Amedei,Italy,2012,Peru,"Piura, Blanco de Criollo",70.0,3.75,4,Yes,Yes,No,No,Yes,No,creamy,raspberry,nutty,
96,96,Amedei,Italy,2018,Blend,Nine,75.0,3.5,4,Yes,Yes,No,No,Yes,No,sweet,delicate,complex,
97,97,Amedei,Italy,2018,Madagascar,Madagascar,70.0,3.0,4,Yes,Yes,No,No,Yes,No,vanilla,mint,roasty,
98,98,Amedei,Italy,2018,Venezuela,Chuao,70.0,3.0,4,Yes,Yes,No,No,Yes,No,vanilla,nuts,roasty,
99,99,Amedei,Italy,2018,Venezuela,Porcelana,70.0,3.0,4,Yes,Yes,No,No,Yes,No,nutty,mild roasty,vanilla,
100,100,Amedei,Italy,2019,Blend,Toscano Black,70.0,2.75,3,Yes,No,No,No,Yes,No,nut,fatty,rubbery,rich
101,101,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",60.0,4.0,4,Yes,No,Yes,No,Yes,No,creamy,sweet,cocoa,banana
102,102,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",50.0,3.75,4,Yes,No,Yes,No,Yes,No,very sweet,bright red,banana,
103,103,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",75.0,3.75,4,Yes,No,Yes,No,Yes,No,roasty,fatty,nutty,coffee
104,104,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",85.0,2.75,4,Yes,No,Yes,No,Yes,No,creamy,red berry,bitter,
105,105,AMMA,Brazil,2013,Brazil,Catongo,75.0,3.25,4,Yes,No,Yes,No,Yes,No,grainy,sweet,poor aftertaste,
106,106,Anahata,U.S.A,2014,Dominican republic,Elvesia,75.0,3.0,2,No,No,No,No,Yes,No,chalky,mild fruit,burnt,
107,107,Animas,U.S.A,2016,Bolivia,Alto Beni,75.0,3.5,2,No,No,No,No,Yes,No,light roast,caramel,cocoa,
108,108,Ara,France,2014,Madagascar,Madagascar,75.0,3.0,3,Yes,No,No,No,Yes,No,sandy,fruity,short,
109,109,Ara,France,2014,Venezuela,Trincheras,75.0,3.0,3,Yes,No,No,No,Yes,No,nutty,mild spice,mild earthy,
110,110,Ara,France,2014,Ecuador,Equateur,75.0,2.75,3,Yes,No,No,No,Yes,No,bitter,floral,leather,
111,111,Ara,France,2014,Mexico,Chiapas,72.0,2.5,3,Yes,No,No,No,Yes,No,earthy,sour milk,leather,
112,112,Arete,U.S.A,2015,Nicaragua,Chuno,70.0,4.0,2,No,No,No,No,Yes,No,creamy,sticky,peanut butter,
113,113,Arete,U.S.A,2015,Ecuador,"Puerto Quito, heirloom",70.0,3.75,2,No,No,No,No,Yes,No,spicy,cocoa,,
114,114,Arete,U.S.A,2015,Belize,Maya Mountain,70.0,3.75,2,No,No,No,No,Yes,No,floral,strawberry,metallic,
115,115,Arete,U.S.A,2015,Brazil,Fazenda Camboa,70.0,3.5,2,No,No,No,No,Yes,No,creamy,rich,rum,roasty
116,116,Arete,U.S.A,2015,Peru,Nacional,68.0,3.5,2,No,No,No,No,Yes,No,floral,nutty,rich cocoa,
117,117,Arete,U.S.A,2015,Dominican republic,Oko Caribe,70.0,3.5,2,No,No,No,No,Yes,No,spicy,brownie,nutty,
118,118,Arete,U.S.A,2015,Ecuador,Camino Verde,75.0,3.5,3,Yes,No,No,No,Yes,No,intense,floral,bourbon,
119,119,Arete,U.S.A,2015,Guatemala,Guatemala,70.0,3.25,2,No,No,No,No,Yes,No,strawberry,butterscotch,off,
120,120,Arete,U.S.A,2015,Brazil,Fazenda Camboa,75.0,2.75,2,No,No,No,No,Yes,No,floral,chemical off,,
121,121,Arete,U.S.A,2016,Costa rica,"Coto Brus, Terciopelo",70.0,4.0,2,No,No,No,No,Yes,No,balanced,cherry,choco,
122,122,Arete,U.S.A,2016,Peru,Phantom,70.0,4.0,2,No,No,No,No,Yes,No,creamy,complex,balanced,
123,123,Arete,U.S.A,2016,Tanzania,Kokoa Kamili,70.0,3.75,2,No,No,No,No,Yes,No,appealing smoke,woody,,
124,124,Arete,U.S.A,2016,Nicaragua,Rugoso,70.0,3.75,3,Yes,No,No,No,Yes,No,muddy,rich cocoa,raspberry,
125,125,Arete,U.S.A,2016,Dominican republic,Elvesia,70.0,3.75,2,No,No,No,No,Yes,No,dark berry,chocolatey,,
126,126,Arete,U.S.A,2016,Trinidad,San Juan,70.0,3.5,2,No,No,No,No,Yes,No,delicate,simple,,
127,127,Arete,U.S.A,2016,Vietnam,Tien Giang,73.0,3.5,3,Yes,No,No,No,Yes,No,cashew,roasty,chunky melt,
128,128,Arete,U.S.A,2016,Guatemala,Lachua,70.0,3.5,2,No,No,No,No,Yes,No,subtle,mysterious,,
129,129,Arete,U.S.A,2016,Honduras,"La Masica, FHIA",70.0,3.5,2,No,No,No,No,Yes,No,nutty,green,,
130,130,Arete,U.S.A,2016,Ecuador,Hacienda Victoria,70.0,3.25,3,Yes,No,No,No,Yes,No,sticky,floral,roasty,
131,131,Arete,U.S.A,2016,Ecuador,Costa Esmeraldas,70.0,3.25,3,Yes,No,No,No,Yes,No,chewy,mild floral,,
132,132,Arete,U.S.A,2016,Fiji,Matasawalevu,70.0,3.25,2,No,No,No,No,Yes,No,smoke,hammy,cocoa base,
133,133,Arete,U.S.A,2016,Vietnam,Lam Dong,73.0,3.25,2,No,No,No,No,Yes,No,earthy,nutty,cardboard,
134,134,Arete,U.S.A,2017,Bolivia,Beniano,70.0,4.0,2,No,No,No,No,Yes,No,creamy,bright fruit,,
135,135,Arete,U.S.A,2017,Haiti,Pisa,70.0,4.0,2,No,No,No,No,Yes,No,long lasting,cocoa,,
136,136,Arete,U.S.A,2017,India,Anamalai,70.0,3.5,2,No,No,No,No,Yes,No,slight roasty,basic cocoa,,
137,137,Arete,U.S.A,2017,Madagascar,Sambirano Valley,70.0,3.5,3,Yes,No,No,No,Yes,No,sour fruit,,,
138,138,Arete,U.S.A,2017,Vietnam,Ben Tre,73.0,3.5,3,Yes,No,No,No,Yes,No,rich cocoa,mild roasty,,
139,139,Arete,U.S.A,2017,Peru,Ucayali,70.0,3.5,3,Yes,No,No,No,Yes,No,dried fruit,fig,anise,
140,140,Arete,U.S.A,2018,Colombia,Tumaco,70.0,4.0,2,No,No,No,No,Yes,No,smooth,nutty,cocoa,
141,141,Arete,U.S.A,2018,Trinidad,Ramnath E.,70.0,3.0,2,No,No,No,No,Yes,No,nuts,dried fruit,short,
142,142,Arete,U.S.A,2019,India,Jangareddygudem,70.0,3.25,3,Yes,No,No,No,Yes,No,herbs,mushroom,acidic,
143,143,Arete,U.S.A,2019,India,Idukki,70.0,3.0,3,Yes,No,No,No,Yes,No,burn butterscotch,rubbery,,
144,144,Argencove,Nicaragua,2018,Nicaragua,Mombacho,70.0,3.5,2,No,No,No,No,Yes,No,smooth,vegetal,,
145,145,Argencove,Nicaragua,2018,Nicaragua,Cocibolca,70.0,3.5,2,No,No,No,No,Yes,No,roasty,rich cocoa,,
146,146,Argencove,Nicaragua,2018,Nicaragua,Masaya,70.0,3.25,2,No,No,No,No,Yes,No,melon,late hammy,,
147,147,Argencove,Nicaragua,2018,Nicaragua,Apoyo,70.0,3.0,2,No,No,No,No,Yes,No,cocoa,earthy,hammy,
148,148,Artisan du Chocolat,U.k.,2008,Congo,Congo,72.0,3.75,3,Yes,No,No,No,Yes,No,spicy,minty,vegetal,
149,149,Artisan du Chocolat,U.k.,2009,Dominican republic,Dominican Republic,72.0,3.25,3,Yes,No,No,No,Yes,No,spice,cocoa,short,
150,150,Artisan du Chocolat,U.k.,2009,Madagascar,Madagascar,80.0,3.0,3,Yes,No,No,No,Yes,No,sl. bitter,cherry,rich,
151,151,Artisan du Chocolat,U.k.,2009,Peru,Peru,75.0,3.0,3,Yes,No,No,No,Yes,No,spicey,mild metallic,,
152,152,Artisan du Chocolat,U.k.,2009,Indonesia,Java,72.0,2.75,3,Yes,No,No,No,Yes,No,gritty,very smokey,sour,
153,153,Artisan du Chocolat,U.k.,2009,Venezuela,"Ocumare, Venezuela",75.0,2.5,3,Yes,No,No,No,Yes,No,oily,nutty,burnt,sour
154,154,Artisan du Chocolat,U.k.,2009,Brazil,Brazil Rio Doce,72.0,1.75,3,Yes,No,No,No,Yes,No,cocoa,dominate off note,,
155,155,Artisan du Chocolat,U.k.,2010,Jamaica,Jamaica,72.0,3.75,3,Yes,No,No,No,Yes,No,grassy,black licorice,mint,
156,156,Artisan du Chocolat,U.k.,2010,Indonesia,Bali,72.0,3.5,3,Yes,No,No,No,Yes,No,black pepper and banana,,,
157,157,Artisan du Chocolat,U.k.,2010,Costa rica,Costa Rica,72.0,3.25,3,Yes,No,No,No,Yes,No,chewy,grassy,nutty,
158,158,Artisan du Chocolat,U.k.,2010,Vietnam,Ba Ria Vung Tau Province,72.0,3.25,3,Yes,No,No,No,Yes,No,unrefined,distinct spicey,,
159,159,Artisan du Chocolat,U.k.,2011,Haiti,Haiti,72.0,4.0,3,Yes,No,No,No,Yes,No,nuts,butterscotch,brownie,
160,160,Artisan du Chocolat,U.k.,2011,Panama,Panama,72.0,2.75,3,Yes,No,No,No,Yes,No,blackpepper,chemical,rubber,
161,161,Artisan du Chocolat,U.k.,2012,Colombia,"Colombia, Casa Luker",72.0,3.75,3,Yes,No,No,No,Yes,No,marshmallow,roasty,nutty,
162,162,Artisan du Chocolat,U.k.,2013,Trinidad,"Trinidad, Heritage, Limited ed.",72.0,3.25,3,Yes,No,No,No,Yes,No,gritty,nutty,,
163,163,Artisan du Chocolat (Casa Luker),U.k.,2013,Colombia,"Orinoqua Region, Arauca",72.0,2.75,4,Yes,No,Yes,No,Yes,No,creamy,marshmallow,off,
164,164,Askinosie,U.S.A,2007,Ecuador,San Jose del Tambo,70.0,3.0,2,No,No,No,No,Yes,No,smooth,astringent,cocoa,
165,165,Askinosie,U.S.A,2007,Mexico,Xoconusco,75.0,2.5,2,No,No,No,No,Yes,No,leather,black licorice,off,
166,166,Askinosie,U.S.A,2009,Philippines,Davao,77.0,3.75,2,No,No,No,No,Yes,No,strawberries,mild tart,roasty,
167,167,Askinosie,U.S.A,2011,Tanzania,"Tenende, Uwate",72.0,3.75,2,No,No,No,No,Yes,No,creamy,woody,cocoa,
168,168,Askinosie,U.S.A,2011,Honduras,Cortes,70.0,3.75,2,No,No,No,No,Yes,No,grapes,woody,roasty,
169,169,Askinosie,U.S.A,2016,Tanzania,Mababa,68.0,3.75,3,Yes,No,No,No,Yes,No,creamy,rich,blueberry,
170,170,Atypic,Australia,2019,Solomon islands,Solomon Islands,70.0,3.0,4,Yes,No,Yes,No,Yes,No,off aroma,vegetal,honey,sandy
171,171,Auro,Philippines,2018,Philippines,"Saloy E., 2016",70.0,3.5,3,Yes,No,No,No,Yes,No,long,bright fruit,sweet,sour
172,172,Auro,Philippines,2018,Philippines,"Paquibao E., 2016",70.0,3.0,3,Yes,No,No,No,Yes,No,waxy,dried fruit,,
173,173,Auro,Philippines,2018,Philippines,South Cotabato,70.0,3.0,3,Yes,No,No,No,Yes,No,sandy,roasty,nutty,
174,174,Auro,Philippines,2018,Philippines,Davao,77.0,2.75,4,No,Yes,Yes,No,Yes,No,sandy,vanilla,,
175,175,Bahen & Co.,Australia,2012,Madagascar,Sambirano,70.0,3.0,2,No,No,No,No,Yes,No,unrefined,flat,grassy,
176,176,Bahen & Co.,Australia,2012,Brazil,Bahia,70.0,2.5,2,No,No,No,No,Yes,No,chalky,intense,chemical,
177,177,Bahen & Co.,Australia,2012,Blend,Houseblend,70.0,2.5,2,No,No,No,No,Yes,No,chalky,fragrant,then off,
178,178,Bahen & Co.,Australia,2015,Papua new guinea,Papua New Guinea,70.0,3.5,2,No,No,No,No,Yes,No,smoke,ham,papaya,
179,179,Bahen & Co.,Australia,2015,Blend,Houseblend,80.0,3.25,2,No,No,No,No,Yes,No,coarse,smokey,metallic,
180,180,Baiani,Brazil,2018,Brazil,"Bahia, Vale Potumujo",70.0,3.0,2,No,No,No,No,Yes,No,bland,sugary,large grits,
181,181,Bakau,Peru,2015,Peru,"Huallabamba, 2015",70.0,3.5,3,Yes,No,No,No,Yes,No,black pepper,cardamom,,
182,182,Bakau,Peru,2015,Peru,"Bambamarca, 2015",70.0,2.75,3,Yes,No,No,No,Yes,No,molasses,caramel,pungent,
183,183,Bankston,U.S.A,2019,Tanzania,Kokoa Kamili,72.0,3.25,3,Yes,No,No,No,Yes,No,base cocoa,mild fruit,roasty,
184,184,Bankston,U.S.A,2019,Uganda,Uganda,82.0,2.75,3,Yes,No,No,No,Yes,No,bitter,fatty,mild fruit,
185,185,Bankston,U.S.A,2019,Belize,Belize,72.0,2.5,3,Yes,No,No,No,Yes,No,gritty,fatty,sour,off
186,186,Bar Au Chocolat,U.S.A,2012,Madagascar,Sambirano,70.0,3.75,2,No,No,No,No,Yes,No,raspberry,mild sour,,
187,187,Bar Au Chocolat,U.S.A,2012,Mexico,Chiapas,70.0,3.5,2,No,No,No,No,Yes,No,molasses,toffee,coffee grounds,
188,188,Bar Au Chocolat,U.S.A,2012,Dominican republic,Duarte Province,70.0,3.25,2,No,No,No,No,Yes,No,complex,black pepper,coffee,
189,189,Bar Au Chocolat,U.S.A,2014,Peru,Maranon Canyon,70.0,4.0,2,No,No,No,No,Yes,No,creamy,rounded,orange,
